produto,codigo,categoria,tipo_produto,preco_desconto,perc_desconto,avaliacao,qtd_avaliacoes,valor_total_vendas
Acer 127 Cm (50 Inches) I Series 4K Ultra Hd Android Smart Led Tv Ar50Ar2851Udfl (Black),B0B1YZX72F,Electronics,Tv,1679.9399999999998,32.0,4.3,4703.0,7900757.819999999
Samsung 108 Cm (43 Inches) Crystal 4K Series Ultra Hd Smart Led Tv Ua43Aue60Aklxl (Black),B092BJMT8Q,Electronics,Tv,1859.3999999999999,41.0,4.3,7109.0,13218474.6
"Lapster 65W Compatible For Oneplus Dash Warp Charge Cable , Type C To C Cable Fast Charging Data Sync Cable Compatible With One Plus 10R / 9Rt/ 9 Pro/ 9R/ 8T/ 9/ Nord E For All Type C Devices – Red, 1 Meter",B0BMXMLSMM,Computers e Accessories,Cabo,11.94,80.0,4.5,127.0,1516.3799999999999
"Wayona Nylon Braided (2 Pack) Lightning Fast USB Data Cable Fast Charger Cord For iPhone, Ipad Tablet (3 Ft Pack Of 2, Grey)",B07JH1C41D,Computers e Accessories,Cabo,38.94,68.0,4.2,24269.0,945034.86
"Gizga Essentials USB Wifi Adapter For Pc, 150 Mbps Wireless Network Adapter For Desktop - Nano Size Wifi Dongle Compatible With Windows, Mac Os E Linux Kernel | Wpa/Wpa2 Encryption Standards| Black",B0141EZMAI,Computers e Accessories,Computador,16.14,66.0,3.6,10134.0,163562.76
Oneplus 108 Cm (43 Inches) Y Series Full Hd Smart Android Led Tv 43 Y1S (Black),B09Q5P2MT3,Electronics,Tv,1499.94,22.0,4.2,34899.0,52346406.06
"Boat Deuce USB 300 2 In 1 Type-C E Micro USB Stress Resistant, Sturdy Cable With 3A Fast Charging E 480Mbps Data Transmission, 10000+ Bends Lifespan And Extended 1.5M Length(Mercurial Black)",B08HDH26JX,Computers e Accessories,Cabo,17.939999999999998,57.0,4.2,94363.0,1692872.2199999997
Lapster USB 3.0 A To Micro B Superspeed For Hard Disk Cable - Short Cable,B09VT6JKRP,Computers e Accessories,Cabo,11.94,80.0,4.1,425.0,5074.5
Tcl 100 Cm (40 Inches) Full Hd Certified Android R Smart Led Tv 40S6505 (Black),B09T3KB6JZ,Electronics,Tv,1139.3999999999999,54.0,4.2,6659.0,7587264.599999999
"Zebronics Zeb-USB150Wf1 Wifi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes With Advanced Security Wpa/Wpa2 Encryption Standards",B093QCY6YJ,Computers e Accessories,Rede,17.4,17.0,3.7,1977.0,34399.799999999996
"Lohaya Remote Compatible For Mi Smart Led Tv 4A Remote Control (32""/43"") [ Compatible For Mi Tv Remote Control ] [ Compatible For Mi Smart Led Tv Remote Control ]",B093ZNQZ2Y,Electronics,Tv,14.94,69.0,3.8,1079.0,16120.26
"Gilary Multi Charging Cable, 3 In 1 Nylon Braided Fast Charging Cable For iPhone Micro USB Type C Mobile Phone | Colour May Vary |",B08LKS3LSP,Computers e Accessories,Cabo,20.7,65.0,3.7,1097.0,22707.899999999998
Tp-Link Ue300 USB 3.0 To Rj45 Gigabit Ethernet Network Adapter - Plug And Play,B00V4BGDKU,Computers e Accessories,Rede,65.94,42.0,4.5,22420.0,1478374.8
"Wayona Type C To Lightning Mfi Certified 20W Fast Charging Nylon Braided USB C Cable For iPhone 14, 14 Pro, 14 Pro Max, 14 Plus, 13, 13 Pro, 13 Pro Max, 13 Mini, 12, 12 Pro, 11, 11 Pro Max iPhone 12 Mini, X, 8 (2M, Grey)",B08CHKQ8D4,Computers e Accessories,Cabo,43.14,52.0,4.1,1045.0,45081.3
Dealfreez Case Compatible With Fire Tv Stick 3Rd Gen 2021 Full Wrap Silicone Remote Cover Anti-Lost With Loop (D-Black),B09BW334ML,Electronics,Bolsa/Acessorio,20.939999999999998,77.0,4.3,4145.0,86796.29999999999
"Amazon Basics New Release Nylon USB-A To Lightning Cable Cord, Fast Charging Mfi Certified Charger For Apple iPhone, Ipad (3-Ft, Rose Gold)",B082T6GVLJ,Computers e Accessories,Cabo,50.94,53.0,4.3,6547.0,333504.18
Isoelite Remote Compatible For Samsung Led/Lcd Remote Control Works With All Samsung Led/Lcd Tv Model No :- Bn59-607A (Please Match The Image With Your Old Remote),B07DL1KC3H,Electronics,Tv,17.939999999999998,67.0,4.0,1588.0,28488.719999999998
Mi 100 Cm (40 Inches) 5A Series Full Hd Smart Android Led Tv With 24W Dolby Audio E Metal Bezel-Less Frame (Black) (2022 Model),B0B6F98KJJ,Electronics,Tv,1319.94,27.0,4.2,32840.0,43346829.6
"Wayona Nylon Braided USB Data Sync And Fast Charging 3A Short Power Bank Cable For iPhones, Ipad Air, Ipad Mini, Ipod Nano And Ipod Touch (Grey)",B07JNVF678,Computers e Accessories,Cabo,20.939999999999998,65.0,4.2,13120.0,274732.8
"Wayona Type C To Type C Long Fast Charging Cable Type C Charger Cord Compatible With Samsung S22 S20 S20 Fe 2022 S22 Ultra S21 Ultra A70 A51 A53 A33 A73 M51 M31 M33 M53 (Grey, 2M, 65W, 6Ft)",B09QGZFBPM,Computers e Accessories,Cabo,23.939999999999998,60.0,4.3,2806.0,67175.64
"Wayona Nylon Braided 2M / 6Ft Fast Charge USB To Lightning Data Sync And Charging Cable For iPhone, Ipad Tablet (6 Ft Pack Of 1, Grey)",B07JGDB5M1,Computers e Accessories,Cabo,26.939999999999998,65.0,4.2,24269.0,653806.86
Crossvolt Compatible Dash/Warp Data Sync Fast Charging Cable Supported For All C Type Devices (Cable),B0981XSZJ7,Computers e Accessories,Cabo,17.939999999999998,70.0,4.3,766.0,13742.039999999999
